num_vertices_local,k,t_mpi_local,t_mpi_mpi,t_mpi,t_prim,
16,0,0.016212,0.000078,0.016290,0.000045,
32,1,0.000443,0.000141,0.000583,0.000102,
64,2,0.000871,0.000463,0.001334,0.000360,
128,3,0.002500,0.001581,0.004081,0.001524,
256,4,0.008838,0.007156,0.015994,0.005753,
512,5,0.027339,0.029632,0.056971,0.022981,
1024,6,0.103941,0.137971,0.241913,0.092594,
2048,7,0.387847,0.637728,1.025575,0.371838,
4096,8,1.631759,2.734866,4.366625,1.497726,
8192,9,6.045113,12.022670,18.067783,5.927698,
16384,10,23.097590,53.605391,76.702981,23.704845,
